,Date,Open,High,Low,Close,Volume,20-day MA,20-day Volatility,Signal
198,2023-04-25T00:00:00+05:30,378.2,378.9,374.1,375.65,3764276,366.40250000000003,5.7732248353949,Sell
199,2023-04-26T00:00:00+05:30,377.65,377.65,373.4,374.55,3504073,367.055,5.925433583959489,Sell
200,2023-04-27T00:00:00+05:30,376.4,376.6,372.05,374.4,4245850,367.6875,6.003987162055333,Sell
201,2023-04-28T00:00:00+05:30,380.0,388.0,380.0,385.0,13854703,368.875,6.9395415440881125,Sell
202,2023-05-02T00:00:00+05:30,389.0,392.15,387.45,388.35,4873304,370.4825,7.546091267740645,Sell
203,2023-05-03T00:00:00+05:30,388.35,388.35,382.05,385.1,2414244,371.78499999999997,7.715212245947516,Buy
204,2023-05-04T00:00:00+05:30,384.75,386.15,383.05,383.7,3126679,372.72999999999996,7.96796876975604,Buy
205,2023-05-05T00:00:00+05:30,382.75,384.4,379.0,379.4,3951097,373.3025,8.017636398657057,Buy
206,2023-05-08T00:00:00+05:30,381.0,383.0,379.6,380.35,4806772,373.8325,8.120138626637301,Buy
207,2023-05-09T00:00:00+05:30,382.5,383.45,380.05,382.3,2858349,374.615,8.145584855097653,Buy
208,2023-05-10T00:00:00+05:30,384.0,384.55,382.0,383.75,1835201,375.1375,8.388335808227753,Buy
209,2023-05-11T00:00:00+05:30,385.7,386.85,383.1,384.65,2024982,375.8575,8.562929205532646,Buy
210,2023-05-12T00:00:00+05:30,384.6,385.25,381.55,383.25,2290179,376.4125,8.66904467206924,Buy
211,2023-05-15T00:00:00+05:30,383.25,387.0,382.5,385.75,2544847,377.285,8.68769698754418,Buy
212,2023-05-16T00:00:00+05:30,387.5,388.8,386.5,386.95,2029676,378.53499999999997,8.146828572486893,Buy
213,2023-05-17T00:00:00+05:30,386.2,387.35,381.35,382.3,2688051,379.255,7.785781575208544,Buy
214,2023-05-18T00:00:00+05:30,385.2,385.35,382.25,382.6,2118508,380.34499999999997,6.48313398872826,Sell
215,2023-05-19T00:00:00+05:30,384.8,388.2,383.5,386.2,3640791,381.5125,5.127502598219757,Sell
216,2023-05-22T00:00:00+05:30,386.5,396.6,385.4,395.75,6098695,382.8975,5.040036419042613,Sell
217,2023-05-23T00:00:00+05:30,397.0,402.1,396.05,397.65,6362817,383.88250000000005,5.877662330697162,Sell
218,2023-05-24T00:00:00+05:30,394.5,400.45,393.35,399.7,4128487,385.085,6.528844904689135,Sell
219,2023-05-25T00:00:00+05:30,399.0,399.0,392.65,394.1,6802527,386.0625,6.3289825198726275,Sell
220,2023-05-26T00:00:00+05:30,395.15,402.55,395.0,401.7,3963090,387.4275,6.618623545087712,Sell
221,2023-05-29T00:00:00+05:30,404.0,406.0,399.35,399.8,3979654,388.1675,7.139775077543049,Sell
222,2023-05-30T00:00:00+05:30,400.0,403.85,399.45,402.5,3689486,388.875,7.826834743705332,Buy
223,2023-05-31T00:00:00+05:30,401.75,404.8,400.5,403.65,5891791,389.8025,8.43168327765851,Buy
224,2023-06-01T00:00:00+05:30,405.0,408.0,404.05,407.15,3532742,390.975,9.139194079406634,Buy
225,2023-06-02T00:00:00+05:30,408.7,409.8,404.0,404.95,3160377,392.25249999999994,9.221406374643932,Buy
226,2023-06-05T00:00:00+05:30,408.9,409.75,403.7,404.2,3626430,393.44500000000005,9.14297112828423,Buy
227,2023-06-06T00:00:00+05:30,403.35,403.35,395.55,399.95,6853700,394.3275,8.857979973477777,Buy
228,2023-06-07T00:00:00+05:30,402.4,403.6,401.0,402.8,4107930,395.28000000000003,8.683217327575154,Buy
229,2023-06-08T00:00:00+05:30,404.1,404.75,398.75,399.55,5307526,396.025,8.356222075102322,Buy
230,2023-06-09T00:00:00+05:30,399.45,400.35,396.05,397.3,6009116,396.72749999999996,7.797629109982605,Buy
231,2023-06-12T00:00:00+05:30,399.8,399.8,394.6,395.6,5986811,397.21999999999997,7.36696752580881,Sell
232,2023-06-13T00:00:00+05:30,397.95,398.5,394.5,395.55,6508093,397.65,6.976615074285125,Sell
233,2023-06-14T00:00:00+05:30,396.3,397.15,392.7,396.45,9256282,398.35749999999996,5.985053202947371,Sell
234,2023-06-15T00:00:00+05:30,397.1,397.45,388.25,388.95,14351160,398.675,5.225355691746583,Sell
235,2023-06-16T00:00:00+05:30,385.55,388.65,379.25,380.4,20406726,398.38500000000005,6.050013049138176,Sell
236,2023-06-19T00:00:00+05:30,382.0,382.0,377.1,380.2,5227335,397.6075,7.280512471118426,Sell
237,2023-06-20T00:00:00+05:30,381.8,384.9,380.6,383.35,5872600,396.8925,7.947728490449369,Sell
238,2023-06-21T00:00:00+05:30,384.25,387.25,383.1,386.0,4378447,396.2075,8.276604233113064,Sell
239,2023-06-22T00:00:00+05:30,386.0,386.0,381.8,382.85,4642231,395.645,8.79352183802348,Sell
240,2023-06-23T00:00:00+05:30,382.3,382.9,378.15,379.95,3216924,394.5575,9.333616027987308,Sell
241,2023-06-26T00:00:00+05:30,380.0,381.75,379.05,380.95,2039348,393.61499999999995,9.720097194662786,Sell
242,2023-06-27T00:00:00+05:30,384.25,384.25,381.5,382.4,2905692,392.61,9.791935457304014,Sell
243,2023-06-28T00:00:00+05:30,383.75,383.75,380.8,382.25,3560677,391.54,9.690766087798687,Sell
244,2023-06-30T00:00:00+05:30,385.0,389.75,383.05,389.15,4485761,390.64,8.974079633208426,Sell
245,2023-07-03T00:00:00+05:30,393.9,393.9,389.5,392.2,4373470,390.0025,8.334068871048345,Buy
246,2023-07-04T00:00:00+05:30,393.75,397.3,393.0,396.0,6227567,389.5925,7.782288849487076,Sell
247,2023-07-05T00:00:00+05:30,394.1,395.4,391.85,394.1,6022271,389.3,7.476436668839426,Sell
248,2023-07-06T00:00:00+05:30,394.5,396.95,393.15,395.95,4463737,388.9575,6.964841687852719,Sell
249,2023-07-07T00:00:00+05:30,395.0,397.45,393.2,395.55,4464826,388.75750000000005,6.696941073120708,Sell
250,2023-07-10T00:00:00+05:30,395.85,395.85,389.7,390.0,2778400,388.39250000000004,6.399162671377092,Sell
251,2023-07-11T00:00:00+05:30,390.0,392.8,387.85,392.0,4778195,388.2125,6.234261763581259,Sell
252,2023-07-12T00:00:00+05:30,393.9,393.95,390.4,391.0,3393261,387.985,6.032152884423761,Sell
253,2023-07-13T00:00:00+05:30,391.85,398.55,391.6,394.75,6758480,387.9,5.917480794001594,Sell
254,2023-07-14T00:00:00+05:30,394.75,405.45,392.45,405.2,15524197,388.7125,7.072181882485525,Sell
255,2023-07-17T00:00:00+05:30,407.0,424.95,406.0,415.9,22794984,390.4875,9.053494164075886,Buy
256,2023-07-18T00:00:00+05:30,418.0,420.1,412.35,417.0,8812855,392.3275,10.479848771006493,Buy
257,2023-07-19T00:00:00+05:30,420.0,421.0,414.2,418.05,5370339,394.0625,11.714957544232327,Buy
258,2023-07-20T00:00:00+05:30,418.5,419.6,414.7,417.25,4092177,395.625,12.631190509378683,Buy
259,2023-07-21T00:00:00+05:30,405.0,414.25,402.15,404.9,11549811,396.7275,12.417956809225778,Buy
260,2023-07-24T00:00:00+05:30,406.3,408.0,403.55,403.8,3361148,397.91999999999996,11.854384043578087,Buy
261,2023-07-25T00:00:00+05:30,405.5,405.5,400.0,400.4,3211391,398.89250000000004,11.166812613605341,Buy
262,2023-07-26T00:00:00+05:30,403.5,403.5,401.5,402.7,2647967,399.90749999999997,10.490964470739687,Buy
263,2023-07-27T00:00:00+05:30,404.0,406.45,399.0,401.4,4452368,400.86499999999995,9.633413615886282,Buy
264,2023-07-28T00:00:00+05:30,401.05,402.55,396.55,399.1,3353637,401.3625,9.245694232566391,Sell
265,2023-07-31T00:00:00+05:30,399.75,406.0,399.0,405.3,3362625,402.01750000000004,9.023788371795591,Buy
266,2023-08-01T00:00:00+05:30,405.5,408.0,404.1,406.45,3573110,402.54,8.959332094467376,Sell
267,2023-08-02T00:00:00+05:30,405.9,405.9,399.0,402.75,2685555,402.97249999999997,8.736470367012638,Sell
268,2023-08-03T00:00:00+05:30,402.0,402.0,397.05,399.9,3391462,403.16999999999996,8.613138678480832,Sell
269,2023-08-04T00:00:00+05:30,400.85,410.0,400.65,408.85,6226298,403.835,8.506624353687098,Sell
270,2023-08-07T00:00:00+05:30,409.95,413.0,408.1,411.3,4373173,404.9,8.001726787322394,Sell
271,2023-08-08T00:00:00+05:30,412.4,417.3,410.65,416.2,7819028,406.11,7.774868419939566,Sell
272,2023-08-09T00:00:00+05:30,415.5,418.5,412.7,417.5,4628722,407.435,7.308360389235901,Sell
273,2023-08-10T00:00:00+05:30,417.1,420.75,415.55,418.45,4932060,408.62,7.060516605521648,Sell
274,2023-08-11T00:00:00+05:30,418.65,421.95,412.4,413.15,3767288,409.01750000000004,7.081597258870831,Sell
275,2023-08-14T00:00:00+05:30,413.25,416.2,409.55,414.0,2882930,408.9225,6.996643462178624,Sell
276,2023-08-16T00:00:00+05:30,414.15,420.15,414.05,418.2,4051106,408.9825,7.074272791341916,Sell
277,2023-08-17T00:00:00+05:30,418.65,420.3,414.5,417.0,3154586,408.93,7.007015281694446,Sell
278,2023-08-18T00:00:00+05:30,415.05,415.05,408.0,411.5,5290462,408.64250000000004,6.761331132566673,Sell
279,2023-08-21T00:00:00+05:30,411.8,417.35,411.75,414.2,3652913,409.10749999999996,6.810021156934791,Sell
280,2023-08-22T00:00:00+05:30,415.0,418.05,412.85,417.0,3159947,409.76750000000004,6.907514500813736,Sell
281,2023-08-23T00:00:00+05:30,417.25,417.9,414.75,415.4,3021132,410.51750000000004,6.6462746787405464,Sell
282,2023-08-24T00:00:00+05:30,418.75,419.95,412.05,413.1,2861818,411.0375,6.4049091985843,Sell
283,2023-08-25T00:00:00+05:30,410.0,411.3,407.1,408.8,3262069,411.40749999999997,6.021109248215963,Sell
284,2023-08-28T00:00:00+05:30,411.45,412.05,407.65,408.35,1689164,411.87,5.34305747282388,Sell
285,2023-08-29T00:00:00+05:30,409.65,411.85,407.15,408.25,1981800,412.01750000000004,5.190686877780458,Sell
286,2023-08-30T00:00:00+05:30,410.0,410.2,406.65,407.0,1983819,412.04499999999996,5.16101020303136,Sell
287,2023-08-31T00:00:00+05:30,408.0,410.0,406.5,409.1,11020296,412.3625,4.737000911081105,Sell
288,2023-09-01T00:00:00+05:30,407.95,417.75,407.5,416.35,4238065,413.18500000000006,3.7933494434344075,Sell
289,2023-09-04T00:00:00+05:30,418.0,436.5,416.0,434.1,13817324,414.44750000000005,5.89454419915514,Sell
290,2023-09-05T00:00:00+05:30,435.8,437.5,430.3,431.85,8986713,415.475,7.003730209117796,Buy
291,2023-09-06T00:00:00+05:30,433.75,435.55,425.9,429.3,6765956,416.13,7.657184448882918,Buy
292,2023-09-07T00:00:00+05:30,429.95,433.7,426.75,432.85,4661325,416.89750000000004,8.522161126331849,Buy
293,2023-09-08T00:00:00+05:30,433.45,433.45,429.3,430.0,2874205,417.475,9.010264614374895,Buy
294,2023-09-11T00:00:00+05:30,433.0,437.5,430.1,434.85,4126657,418.55999999999995,9.739104573560162,Buy
295,2023-09-12T00:00:00+05:30,437.1,441.5,426.9,435.0,7272664,419.60999999999996,10.335383780718562,Buy
296,2023-09-13T00:00:00+05:30,434.95,437.95,431.5,435.7,3722835,420.485,10.93321953834677,Buy
297,2023-09-14T00:00:00+05:30,438.4,443.25,435.3,436.45,7447505,421.4575,11.45929035875778,Buy
298,2023-09-15T00:00:00+05:30,439.8,443.75,438.25,441.05,9917938,422.93500000000006,12.000099780287046,Buy
299,2023-09-18T00:00:00+05:30,441.05,441.05,435.2,436.1,3012598,424.03000000000003,12.15921136639357,Buy
300,2023-09-20T00:00:00+05:30,434.25,436.85,429.05,430.1,4551350,424.68500000000006,12.113336495476158,Buy
301,2023-09-21T00:00:00+05:30,429.9,431.25,423.05,428.95,4446535,425.3625,11.944442387460844,Buy
302,2023-09-22T00:00:00+05:30,424.4,426.75,416.6,418.5,9909130,425.6325,11.711423516783798,Sell
303,2023-09-25T00:00:00+05:30,418.5,419.75,412.0,414.1,4650566,425.89750000000004,11.365349868419441,Sell
