,Date,Open,High,Low,Close,Volume,Volatility,EMA12,EMA26,MACD,Signal Line,H-L,H-PC,L-PC,TR,ATR,Avg_Volume,Signal
23,2022-08-05T00:00:00+05:30,274.95,276.3,270.0,271.9,690441,3.4669564319846815,271.2013434837237,268.4481784910274,2.75316499269627,4.1592586530627464,6.300000000000011,5.150000000000034,1.1499999999999773,6.300000000000011,7.2571428571428465,1394510.35,No Signal
24,2022-08-08T00:00:00+05:30,273.6,274.0,270.3,271.4,344207,3.4733436030089715,271.2319060246893,268.6668319361365,2.5650740885528194,3.840421740160761,3.6999999999999886,2.1000000000000227,1.599999999999966,3.6999999999999886,7.06785714285713,1373640.15,No Signal
25,2022-08-10T00:00:00+05:30,271.9,275.1,270.5,272.7,539013,3.4051825071392177,271.45776663627555,268.9655851260523,2.492181510223247,3.5707736941732584,4.600000000000023,3.7000000000000455,0.8999999999999773,4.600000000000023,5.828571428571418,1361631.15,No Signal
26,2022-08-11T00:00:00+05:30,276.0,277.3,272.5,272.9,575207,3.394476505394281,271.6796486922332,269.2570232648632,2.422625427369951,3.341144040812597,4.800000000000011,4.600000000000023,0.19999999999998863,4.800000000000011,5.39642857142856,1351376.35,No Signal
27,2022-08-12T00:00:00+05:30,273.1,276.5,273.0,273.7,866807,3.311421375225871,271.99047197035117,269.58613265265114,2.404339317700021,3.1537830961900823,3.5,3.6000000000000227,0.10000000000002274,3.6000000000000227,5.035714285714278,1071380.85,No Signal
28,2022-08-16T00:00:00+05:30,273.0,302.0,271.5,293.2,5143031,3.303341395079001,275.2534762826048,271.335308011714,3.918168270890817,3.3066601311302293,30.5,28.30000000000001,2.1999999999999886,30.5,6.828571428571422,1245344.6,No Signal
29,2022-08-17T00:00:00+05:30,296.3,298.0,284.0,285.6,2993634,3.171331049963064,276.8452491622041,272.39195186269814,4.453297299505948,3.535987564805373,14.0,4.800000000000011,9.199999999999989,14.0,7.239285714285708,1297970.65,No Signal
30,2022-08-18T00:00:00+05:30,285.0,288.8,282.2,282.85,1442961,2.6250355899761453,277.76905698340346,273.1666220950909,4.602434888312587,3.7492770295068163,6.600000000000023,3.1999999999999886,3.400000000000034,6.600000000000023,7.310714285714283,1242095.65,No Signal
31,2022-08-19T00:00:00+05:30,282.9,283.75,277.0,280.0,992456,2.666905044953233,278.1122789859568,273.67279823619526,4.439480749761515,3.8873177735577564,6.75,0.8999999999999773,5.850000000000023,6.75,7.467857142857143,1133916.2,No Signal
32,2022-08-22T00:00:00+05:30,281.5,283.9,275.05,279.2,772130,2.606925320445403,278.27962068042496,274.08222058906966,4.197400091355291,3.9493342371172635,8.849999999999966,3.8999999999999773,4.949999999999989,8.849999999999966,7.692857142857142,1025143.1,Buy
33,2022-08-23T00:00:00+05:30,277.0,284.2,276.25,282.5,884900,2.651948558644548,278.92890980651345,274.70575980469414,4.223150001819306,4.004097390057672,7.949999999999989,5.0,2.9499999999999886,7.949999999999989,7.971428571428569,998540.0,Buy
