,Date,Open,High,Low,Close,Volume,20-day MA,20-day Volatility,Signal
204,2023-05-04T00:00:00+05:30,45.85,46.35,45.05,45.25,12539637,42.677499999999995,1.7545785968807044,Buy
205,2023-05-05T00:00:00+05:30,45.1,46.65,44.5,45.7,12024104,42.947500000000005,1.7846918501523776,Buy
206,2023-05-08T00:00:00+05:30,46.0,46.25,45.2,45.6,7966329,43.215,1.759866920806149,Buy
207,2023-05-09T00:00:00+05:30,45.7,45.9,44.5,44.6,4661893,43.4325,1.6387796325958224,Buy
208,2023-05-10T00:00:00+05:30,44.75,44.75,43.3,44.45,7430991,43.652499999999996,1.4446339000811081,Buy
209,2023-05-11T00:00:00+05:30,44.45,44.75,43.95,44.5,6734786,43.815,1.3390982826240676,Sell
210,2023-05-12T00:00:00+05:30,44.75,44.95,44.3,44.55,5525797,43.977500000000006,1.2086829500264484,Sell
211,2023-05-15T00:00:00+05:30,44.6,44.7,43.8,43.95,5696861,44.0325,1.1793480580836588,Sell
212,2023-05-16T00:00:00+05:30,44.3,45.1,44.05,44.25,6386134,44.082499999999996,1.1655442595856542,Sell
213,2023-05-17T00:00:00+05:30,44.25,44.75,44.25,44.3,4335607,44.145,1.1405100428734432,Sell
214,2023-05-18T00:00:00+05:30,44.75,45.05,43.9,44.05,5293124,44.2,1.1058457111381126,Sell
215,2023-05-19T00:00:00+05:30,44.0,44.5,43.25,44.1,6062256,44.31,0.9655377558103057,Sell
216,2023-05-22T00:00:00+05:30,44.35,44.6,43.45,43.55,3748160,44.345,0.9215119155641908,Sell
217,2023-05-23T00:00:00+05:30,43.7,44.05,42.85,43.15,6893648,44.3825,0.8507388429758224,Sell
218,2023-05-24T00:00:00+05:30,43.2,43.6,42.8,43.0,4711384,44.427499999999995,0.7402835516493548,Sell
219,2023-05-25T00:00:00+05:30,43.05,43.25,42.55,42.7,3200004,44.347500000000004,0.8351607157027325,Sell
220,2023-05-26T00:00:00+05:30,42.8,43.15,42.55,42.95,4713616,44.252500000000005,0.8817558738409919,Sell
221,2023-05-29T00:00:00+05:30,43.2,43.95,42.75,42.9,14580394,44.185,0.9321875799488964,Sell
222,2023-05-30T00:00:00+05:30,43.4,45.2,43.25,43.8,19070599,44.15,0.932878962081999,Sell
223,2023-05-31T00:00:00+05:30,43.8,44.1,42.95,43.45,8416556,44.040000000000006,0.8745826072147489,Sell
224,2023-06-01T00:00:00+05:30,43.45,43.8,42.95,43.45,10761376,43.95,0.8352434249653233,Sell
225,2023-06-02T00:00:00+05:30,43.85,44.65,43.1,43.2,9734350,43.825,0.741353669417181,Sell
226,2023-06-05T00:00:00+05:30,43.5,45.15,43.4,43.9,15793306,43.739999999999995,0.6135745139841963,Sell
227,2023-06-06T00:00:00+05:30,43.85,44.85,43.6,44.55,13080051,43.7375,0.6099773507446553,Sell
228,2023-06-07T00:00:00+05:30,44.5,45.1,43.85,43.95,10688660,43.7125,0.5891284821000137,Sell
229,2023-06-08T00:00:00+05:30,44.2,45.4,44.1,44.85,21338505,43.730000000000004,0.6182317739458274,Sell
230,2023-06-09T00:00:00+05:30,44.95,45.55,44.25,44.5,20316918,43.7275,0.6148330967364398,Sell
231,2023-06-12T00:00:00+05:30,44.65,45.15,43.95,45.0,13920470,43.78,0.6765625189926515,Sell
232,2023-06-13T00:00:00+05:30,45.0,45.8,44.7,45.55,18781531,43.845000000000006,0.7788148891613268,Sell
233,2023-06-14T00:00:00+05:30,45.7,46.1,45.0,45.4,11747144,43.9,0.8483730559757829,Buy
234,2023-06-15T00:00:00+05:30,45.35,46.25,44.75,44.85,14194782,43.94,0.8742816600232787,Buy
235,2023-06-16T00:00:00+05:30,45.05,45.45,44.4,44.8,12585440,43.975,0.8947948897581348,Buy
236,2023-06-19T00:00:00+05:30,45.05,45.75,44.85,45.55,9431432,44.075,0.9545596945852849,Buy
237,2023-06-20T00:00:00+05:30,45.45,46.3,45.45,45.7,8866287,44.2025,0.9939918193036358,Buy
238,2023-06-21T00:00:00+05:30,45.95,46.75,45.65,45.85,17114667,44.345000000000006,1.0165602475222817,Buy
239,2023-06-22T00:00:00+05:30,45.9,46.5,45.3,45.5,16100953,44.485,0.969820927583756,Buy
240,2023-06-23T00:00:00+05:30,45.45,45.75,45.1,45.55,11820498,44.614999999999995,0.9265243485313999,Buy
241,2023-06-26T00:00:00+05:30,45.85,45.9,45.3,45.65,11872662,44.7525,0.8603051784108335,Buy
242,2023-06-27T00:00:00+05:30,45.6,46.65,45.55,45.9,23979603,44.8575,0.8660671847042585,Buy
243,2023-06-28T00:00:00+05:30,46.0,46.05,45.2,45.6,43644150,44.964999999999996,0.8140380179926257,Buy
244,2023-06-30T00:00:00+05:30,45.65,46.2,45.35,45.8,17281533,45.082499999999996,0.7510124744920278,Sell
245,2023-07-03T00:00:00+05:30,46.2,46.45,45.4,45.5,15389664,45.197500000000005,0.6105379422672397,Sell
246,2023-07-04T00:00:00+05:30,45.6,46.05,45.45,45.6,7021970,45.2825,0.5339216875362981,Sell
247,2023-07-05T00:00:00+05:30,45.6,45.7,45.1,45.4,9269676,45.325,0.5056262401590746,Sell
248,2023-07-06T00:00:00+05:30,45.55,47.3,45.15,46.95,50361926,45.475,0.5210061116931648,Sell
249,2023-07-07T00:00:00+05:30,46.95,47.1,45.75,46.05,23174677,45.535000000000004,0.5142956348255201,Sell
250,2023-07-10T00:00:00+05:30,46.2,46.3,45.35,46.0,32167940,45.61,0.4621460238593582,Sell
251,2023-07-11T00:00:00+05:30,46.5,47.3,46.2,46.6,24655833,45.69,0.4887147483591636,Sell
252,2023-07-12T00:00:00+05:30,47.0,49.15,46.9,47.3,39344402,45.7775,0.605126128653819,Sell
